Time       moves_acc moves_gen     G(r)_1     S(Q)_1     Bragg
h/m/s/.th    WEIGHT PARAMETERS   0.400E+03  0.100E+05  0.100E+01
180432.462        5017       13257  0.154E-01  0.493E-02  0.446E-01
180532.465        9492       26987  0.155E-01  0.466E-02  0.393E-01
180632.461       13984       40829  0.179E-01  0.498E-02  0.376E-01
180732.463       18637       55032  0.165E-01  0.491E-02  0.372E-01
180832.461       23187       69229  0.183E-01  0.494E-02  0.373E-01
180932.464       28290       85010  0.179E-01  0.485E-02  0.359E-01
181032.461       32498       98164  0.154E-01  0.483E-02  0.373E-01
181132.463       38685      117472  0.162E-01  0.484E-02  0.367E-01
181232.462       45781      139676  0.155E-01  0.492E-02  0.354E-01
181332.463       52967      161932  0.163E-01  0.510E-02  0.337E-01
181432.461       60289      184292  0.160E-01  0.462E-02  0.362E-01
181532.463       67432      206589  0.202E-01  0.468E-02  0.377E-01
181632.462       74738      228968  0.144E-01  0.472E-02  0.348E-01
181732.463       81973      251309  0.189E-01  0.490E-02  0.365E-01
181832.461       89217      273654  0.157E-01  0.500E-02  0.378E-01
181932.461       96568      296063  0.180E-01  0.491E-02  0.373E-01
182032.462      103803      318399  0.158E-01  0.471E-02  0.359E-01
182132.462      111108      340762  0.171E-01  0.514E-02  0.353E-01
182232.461      118271      363067  0.177E-01  0.476E-02  0.333E-01
182332.462      125344      385299  0.170E-01  0.485E-02  0.341E-01
182432.462      132485      407582  0.165E-01  0.472E-02  0.339E-01
182532.460      139758      429903  0.160E-01  0.500E-02  0.335E-01
182632.463      147112      452264  0.169E-01  0.497E-02  0.339E-01
182732.460      154312      474556  0.173E-01  0.502E-02  0.343E-01
182832.461      161654      496913  0.161E-01  0.471E-02  0.336E-01
182932.460      169065      519305  0.165E-01  0.478E-02  0.345E-01
183032.462      176345      541640  0.154E-01  0.494E-02  0.341E-01
183132.462      183919      564098  0.152E-01  0.473E-02  0.333E-01
183232.463      191270      586458  0.155E-01  0.501E-02  0.311E-01
183332.463      198510      608790  0.169E-01  0.501E-02  0.316E-01
183432.461      205815      631125  0.188E-01  0.507E-02  0.332E-01
183532.462      213224      653532  0.176E-01  0.495E-02  0.305E-01
183632.461      220366      675797  0.180E-01  0.486E-02  0.308E-01
183732.462      227496      698065  0.167E-01  0.482E-02  0.324E-01
183832.460      234759      720377  0.169E-01  0.472E-02  0.324E-01
183932.461      242088      742735  0.180E-01  0.479E-02  0.319E-01
184032.461      249202      765003  0.172E-01  0.492E-02  0.341E-01
184132.462      256351      787274  0.154E-01  0.484E-02  0.325E-01
184232.461      263518      809560  0.154E-01  0.478E-02  0.326E-01
184332.462      270922      831966  0.160E-01  0.471E-02  0.332E-01
184432.460      278240      854323  0.154E-01  0.471E-02  0.340E-01
184532.463      285368      876588  0.165E-01  0.482E-02  0.328E-01
184632.461      292702      898964  0.169E-01  0.483E-02  0.318E-01
184732.462      299923      921285  0.169E-01  0.484E-02  0.335E-01
184832.461      307304      943685  0.162E-01  0.490E-02  0.357E-01
184932.461      314616      966049  0.180E-01  0.495E-02  0.330E-01
185032.461      321765      988321  0.164E-01  0.499E-02  0.353E-01
185132.462      328848     1010568  0.165E-01  0.491E-02  0.361E-01
185232.462      335942     1032816  0.177E-01  0.472E-02  0.343E-01
185332.461      343268     1055183  0.185E-01  0.482E-02  0.340E-01
185432.463      350600     1077571  0.182E-01  0.493E-02  0.345E-01
185532.462      357837     1099894  0.161E-01  0.510E-02  0.354E-01
185632.461      365171     1122249  0.145E-01  0.483E-02  0.364E-01
185732.470      372371     1144537  0.185E-01  0.484E-02  0.331E-01
185832.460      378948     1164640  0.168E-01  0.503E-02  0.361E-01
185932.461      386217     1186965  0.162E-01  0.477E-02  0.372E-01
190032.461      393584     1209352  0.142E-01  0.481E-02  0.374E-01
190132.461      400949     1231736  0.148E-01  0.504E-02  0.347E-01
190232.462      408307     1254130  0.172E-01  0.486E-02  0.362E-01
190332.463      415688     1276546  0.178E-01  0.494E-02  0.356E-01
